subject,predicate,object,file_id
this volume,has,"subject ""central concepts""",semeval
contemporary political debate,occurs_in,this volume,semeval
defendant,was released from,custody,semeval
custody,occurs_in,defendant,semeval
date,is,march 2,semeval
march 2,occurs_in,year 2001,semeval
ecotec,built by,plant,semeval
chevy malibu,uses,ecotec,semeval
cobalt,uses,ecotec,semeval
ecotec,used in,chevy malibu,semeval
ecotec,used in,cobalt,semeval
fried cheese,used as,element in a dish,semeval
dish,includes,fried cheese,semeval
the castle,is located in,the museum,semeval
museum,located in,unspecified location,semeval
the castle,belongs_to,an unknown organization,semeval
the museum,belongs_to,an unknown organization,semeval
clubs,falling into,foreign ownership,semeval
english premier league clubs,is,more and more,semeval
foreign ownership,occurs_in,english premier league,semeval
man,was carried into,police car,semeval
police car,belongs_to,law enforcement agency,semeval
coleraine times,located_in,coleraine,semeval
police car,occurs_in,scene_of_crime,semeval
bunn,has,35600 single-cup pod brewers,semeval
35600 single-cup pod brewers,includes,problem_with_drawer_opening_unexpectedly_during_brew_cycle,semeval
drawer of coffeemaker,causes,burn_hazard_to_consumers,semeval
coffeemaker,belongs_to,bunn,semeval
burn_hazard_to_consumers,occurs_in,environment_of_coffeemakers,semeval
probe tube,introduced into,reaction container,semeval
reaction container,located in,entity not specified,semeval
probe tube,uses,reaction container,semeval
reaction container,contains,medium,semeval
medium,occurs_in,reaction container,semeval
david mamet,took questions from,audience,semeval
audience,asked questions to,david mamet,semeval
david mamet,shared his views on,television,semeval
david mamet,shared his views on,democracy of culture,semeval
david mamet,shared his views on,english accent,semeval
chapter,points out,importance of new employee orientation,semeval
new employee orientation,includes,important things to cover,semeval
chapter,lists,some important things to cover,semeval
monitoring station,receives,signal,semeval
signal,through,communication device,semeval
combined signal,processed,to retrieve gps data,semeval
gps data,belongs_to,monitoring station,semeval
correction personnel,sought to,locate and apprehend offenders,semeval
offenders,absconded from,parole officers,semeval
offenders,jointly sought to,locate and apprehend offenders,semeval
police personnel,sought to,locate and apprehend offenders,semeval
probation officers,absconded from,offenders,semeval
entity a,used by,correction personnel,semeval
entity a,used by,police personnel,semeval
place where entity a occurred,is,this approach,semeval
book,major theme of,the beauty of a dream,semeval
it,spilled,more than 53000 gallons of crude oil,semeval
surrounding marshes,includes,it,semeval
it,occurs_in,surrounding marshes,semeval
crude oil,is_spilled_by,it,semeval
hurricane,causes,it,semeval
studies,was focused on,older adults,semeval
older adults,lived at,home,semeval
home,located_in,older adults' living situation,semeval
studies,occurred_in,unspecified_time_period,semeval
unspecified_time_period,includes,eighteen_studies,semeval
diseases,caused by,gene mutations,semeval
gene mutations,located on,x chromosome,semeval
x chromosome,belongs_to,sex chromosomes,semeval
tree,grows,well,semeval
tree,has,size,semeval
size,is,correlated with,semeval
growth,of,tree,semeval
state capital,located in,place b,semeval
bruno,is,part of mischief,semeval
mischief,includes,filthy rats,semeval
filthy rats,proliferate,sewer,semeval
sewer,is,disgusting sewer,semeval
mummified cat,was found in,live trap,semeval
live trap,contains,mummified cat,semeval
live trap,has,empty dish,semeval
empty dish,is located in,live trap,semeval
stories,are narrated through,dance,semeval
foundry,has,manhole frames,semeval
foundry,has,utility covers,semeval
foundry,has,airport castings,semeval
foundry,has,drainage products,semeval
foundry,has,trench grates,semeval
foundry,has,hydrant components,semeval
foundry,has,valve components,semeval
foundry,has,industrial castings,semeval
the air,has,smell of burning plastic,semeval
entity,has,pen,semeval
entity,widely read by,younger part of population,semeval
proletariat,located_in,freuch,semeval
proletariat,belongs_to,mood,semeval
mood,occurs_in,younger part of the population,semeval
receiver,is outputting,tone,semeval
your_deva_5,occurs_in,environment,semeval
tone,is_same_as,tone_output_by_receiver,semeval
yesterday,occurs_in,at least 12 people were killed,semeval
lahore,located_in,pakistan,semeval
a squad of heavily armed militants,stormed,police training school,semeval
police training school,located_in,outskirts of lahore,semeval
a squad of heavily armed militants,sprayed,police training school with gunfire,semeval
a squad of heavily armed militants,used,grenades,semeval
telescope,comprises,lenses,semeval
telescope,uses,lenses,semeval
telescope,uses,tubes,semeval
pulp,was placed in,tupperware tub,semeval
tupperware tub,contains,water,semeval
water,occurs_in,tupperware tub,semeval
carpeters,uses,wood,semeval
carpeters,uses,other_materials,semeval
buildings,built by,carpeters,semeval
boats,built by,carpeters,semeval
carpeters,located_in,buildings,semeval
carpeters,located_in,boats,semeval
carpeters,belongs_to,carpentry,semeval
milk samples,was obtained from,one milking,semeval
cow,had milk sample taken from,milking,semeval
sample,belongs_to,cow,semeval
milking,occurs_in,farm,semeval
farm,located_in,countryside,semeval
entity a,is located in,place b,semeval
place b,located in,country c,semeval
entity a,founded in,year 1995,semeval
blog,includes,blogger as participant in ongoing conversation,semeval
book,offers,intimacy and accountability,semeval
conversation,occurs_in,blog format,semeval
reader,located_in,blurred line with original poster,semeval
comment,replaces,old-fashioned editing,semeval
peer review,supports,collective comment process,semeval
speech,criticised,idea of religious education,semeval
idea of religious education,includes,journey around the various religions,semeval
bread,was considered good by,25%,semeval
bread,was regular by,33%,semeval
bread,was very bad by,17%,semeval
bread,was very good by,8%,semeval
body,unleashes,extraterrestrial passenger,semeval
extraterrestrial passenger,infects,student population,semeval
student population,occurs_in,breakneck pace,semeval
asteroid,threatened,earth,semeval
earth,occurs_in,universe,semeval
asteroid,causes,disaster,semeval
farm,has,forty acres,semeval
farm,belongs_to,early years,semeval
farm,includes,productive subsistence farm,semeval
subsistence farm,has,sheep as primary source of income,semeval
laptop,is inside,protective plastic bag,semeval
protection plastic bag,made of,ldpe number 4,semeval
ldpe number 4,can be recycled,easily,semeval
gary wheelan,has,gender female,semeval
gary wheelan,works_as,attorney,semeval
dallas,is_located_in,texas,semeval
gary wheelan,uses,verbal assaults,semeval
telephone operator,occurs_in,workplace,semeval
entity he,uses,tool to weave,semeval
tale,about,subject concerning romantic concerns,semeval
subject concerning romantic concerns,includes,happiness,semeval
subject concerning romantic concerns,includes,love,semeval
subject concerning romantic concerns,includes,sufferance,semeval
the company,uses,church,semeval
church,located_in,various_locales,semeval
the company,has_remodeled,church,semeval
church,becomes,home,semeval
the company,located_in,various_locales,semeval
hidden camera,was hidden in,business card-sized leaflet box,semeval
business card-sized leaflet box,belongs_to,entity a,semeval
entity a,found by,security guard,semeval
unmanned atm,located_in,tokyo's minato ward,semeval
tokyo's minato ward,located_in,japan,semeval
hidden camera,occurs_in,early september,semeval
the swim bladder of aquatic animals,gives them,ability to manipulate gravity,semeval
on the morning of,occurs_in,16th,semeval
we,accompanied by,coffle of fourteen asses,semeval
coffle of fourteen asses,includes,salt,semeval
salt,loaded with,coffle of fourteen asses,semeval
coffle of fourteen asses,bound for,sansanding,semeval
sansanding,located_in,place c,semeval
entity a,uses,coffle of fourteen asses,semeval
coffle of fourteen asses,belongs_to,entity b,semeval
entity b,belongs_to,entity c,semeval
the coloring,is derived from,the grand duke's coat of arms,semeval
entity,uses,multi-purpose electrician pliers tool,semeval
multi-purpose electrician pliers tool,occurs_in,working with gauge wire,semeval
gauge wire,is_worked_with_by,electrician,semeval
gps network adjustment,uses,ski tm software,semeval
ski tm software,occurs_in,gps network adjustment process,semeval
epoch data,is_used_by,ski tm software,semeval
ski tm software,belongs_to,gps network adjustment team,semeval
epoch data,is_adjusted_by,ski tm software,semeval
ski tm software,has_constraints,network adjustment,semeval
city,located_in,place unknown,semeval
rock_and_roll,used_by,city,semeval
city,belongs_to,country unknown,semeval
city,founded_with,rock_and_roll,semeval
parents,went away from,police station,semeval
parents,is_poor,true,semeval
parents,belongs_to,family,semeval
william h. parker,belongs_to,los angeles police department,semeval
los angeles police department,located_in,los angeles,semeval
william h. parker,has_position,police chief,semeval
los angeles police department,has_longest_serving_police_chief,william h. parker,semeval
hospitals today,uses,blowby apparatus,semeval
blowby apparatus,is used for,this purpose,semeval
the boots,was in,a box,semeval
a box,contains,stuff,semeval
stuff,picked up by,boys,semeval
boys,were at,post office,semeval
