subject,predicate,object,file_id
volume,analyzes,central concepts,semeval
central concepts,of,contemporary political debate,semeval
defendant,was released from,custody,semeval
defendant,was released on,"march 2, 2001",semeval
ecotec,is used in,chevy malibu,semeval
ecotec,is used in,cobalt,semeval
fried cheese,is an element in,dish,semeval
castle,inside,museum,semeval
english premier league clubs,are falling into,foreign ownership,semeval
man,was carried into,police car,semeval
drawer,opens unexpectedly during,brew cycle,semeval
burn hazard,poses to,consumers,semeval
bunn,has recalled,"35,600 single-cup pod brewers",semeval
coffeemaker,poses,burn hazard,semeval
operating condition,is measured for,medium,semeval
medium,is in,interior,semeval
interior,is of,reaction container,semeval
probe tube,is introduced into,reaction container,semeval
david mamet,shared views on,democracy of culture,semeval
david mamet,shared views on,television,semeval
david mamet,took questions from,audience,semeval
david mamet,shared views on,english accent,semeval
monitoring station,receives,signal,semeval
combined signal,is processed to retrieve,gps data,semeval
signal,is received through,communication device,semeval
police personnel,sought to locate and apprehend,offenders,semeval
offenders,absconded from,parole officers,semeval
correction personnel,sought to locate and apprehend,offenders,semeval
offenders,absconded from,probation officers,semeval
book,has theme,beauty,semeval
beauty,of,dream,semeval
crude oil,spilled into,surrounding marshes,semeval
crude oil,spill caused by,hurricane,semeval
53000 gallons,is amount of,crude oil,semeval
studies,focused on,older adults,semeval
older adults,living at,home,semeval
gene mutations,on,x chromosome,semeval
diseases,are caused by,gene mutations,semeval
tree crown,is correlated with,growth,semeval
growth,of,tree,semeval
state capital,is,sewer,semeval
bruno,is one in the mischief of,rats,semeval
mummified cat,was found in,live trap,semeval
live trap,contained,empty dish,semeval
stories,narrated,dance,semeval
the foundry,produces,industrial castings,semeval
the foundry,produces,hydrant components,semeval
the foundry,produces,drainage products,semeval
the foundry,produces,utility covers,semeval
the foundry,produces,airport castings,semeval
the foundry,produces,manhole frames,semeval
the foundry,produces,trench grates,semeval
the foundry,produces,valve components,semeval
air,was filled with,smell,semeval
smell,of,burning plastic,semeval
lisa,plays,volleyball,semeval
lisa,enjoys,vikings,semeval
lisa,plays,softball,semeval
lisa,spends time at,lake vermilion,semeval
lisa,volunteers at,school,semeval
lisa,enjoys,twins,semeval
young author,confirms change in mood of,freuch proletariat,semeval
young author,is read by,younger part of the population,semeval
receiver,was outputting,tone,semeval
tone,to,deva 5,semeval
police training school,located on,outskirts of lahore,semeval
militants,killed,12 people,semeval
militants,stormed,police training school,semeval
telescope,comprises,lenses,semeval
lenses,are important to,telescope,semeval
telescope,comprises,tubes,semeval
tubes,are important to,telescope,semeval
tupperware tub,is filled with,water,semeval
pulp,is poured into,tupperware tub,semeval
carpenters,build,buildings,semeval
carpenters,use,materials,semeval
carpenters,use,wood,semeval
carpenters,build,boats,semeval
milking,of,cow,semeval
milk samples,were obtained from,milking,semeval
novel,offers,accountability,semeval
blog,offers,intimacy,semeval
collective comment,replaces,ivory tower editing,semeval
blogger,is participant in,conversation,semeval
novel,offers,intimacy,semeval
collective comment,is a kind of,universal peer review,semeval
blog,offers,accountability,semeval
reader,is blurred with,original poster,semeval
religious education,is,journey,semeval
journey,around,various religions,semeval
speech,criticised,religious education,semeval
bread,is considered very good by,assessors,semeval
bread,is considered very bad by,assessors,semeval
bread,is considered regular by,assessors,semeval
bread,is considered good by,assessors,semeval
bread,is prepared with,rice flour,semeval
body,unleashes,extraterrestrial passenger,semeval
extraterrestrial passenger,infects,student population,semeval
asteroid,threatened,earth,semeval
asteroid,threatened with,disaster,semeval
farm,had,forty acres,semeval
farm,was,subsistence farm,semeval
sheep,was,income,semeval
laptop,was inside,protective plastic bag,semeval
protective plastic bag,made from,ldpe number 4,semeval
gary wheelan,provokes,telephone operator,semeval
gary wheelan,is from,dallas,semeval
gary wheelan,is,attorney,semeval
company,has remodeled,church,semeval
church,is remodeled into,home,semeval
hidden camera,was hidden in,business card-sized leaflet box,semeval
hidden camera,was found in,early september,semeval
hidden camera,was found by,security guard,semeval
unmanned atm,is located in,tokyo's minato ward,semeval
business card-sized leaflet box,was placed at,unmanned atm,semeval
swim bladder,gives ability to manipulate,gravity,semeval
swim bladder,belongs to,aquatic animals,semeval
fourteen asses,loaded with,salt,semeval
coffle,consists of,fourteen asses,semeval
coffle,bound for,sansanding,semeval
coat of arms,is derived from,grand duke,semeval
electrician,is working with,gauge wire,semeval
multi-purpose electrician pliers tool,is crucial for severing,gauge wire,semeval
data,from,epochs,semeval
gps network,with,constrains network adjustment,semeval
gps network,is accomplished using,ski tm software,semeval
gps network,adjustment of,data,semeval
city,is built on,rock,semeval
city,is built on,roll,semeval
parents,went away from,police station,semeval
william h. parker,longest serving police chief,los angeles police department,semeval
hospitals,use,blowby apparatus,semeval
boys,at,post office,semeval
box,of,stuff,semeval
boots,were in,box,semeval
boys,picked up,box,semeval
roadside attractions,are advertised with,billboards,semeval
billboards,attract,tourists,semeval
local,has,car,semeval
local,procure,beer,semeval
guy,convinced,local,semeval
literary debut,joined,imaginists,semeval
literary debut,joined,literary hooligans,semeval
literary debut,joined,esenin,semeval
literary debut,occurred in,1919,semeval
rabbit,had,litter of rabbits,semeval
mythological anecdotes,are associated with,exploits,semeval
mythological anecdotes,are associated with,birth,semeval
mythological anecdotes,explain,distinct iconography,semeval
documents,point out,strategies,semeval
strategies,utilized by,enron,semeval
punch,is coated with,soot,semeval
punchcutter,makes,imprint,semeval
soot,comes from,open flame,semeval
imprint,is on,piece of paper,semeval
plug,is part of,charger,semeval
plug,is part of,battery box,semeval
welfare of our ofws,is biggest community in,kingdom of saudi arabia,semeval
global community,engage,our economy,semeval
global community,engage,welfare of our ofws,semeval
global community,engage,our national security,semeval
microbes,cause,sickness,semeval
presentation,uses,animation,semeval
germs,cause,sickness,semeval
presentation,outlines,preventive measures,semeval
bazooka,going far away,mafia game,semeval
bertrand meyer,used in his book,object-oriented software construction,semeval
researchers,synthesized,basic ingredients,semeval
amber,topped with,suds,semeval
ale,clarified into,amber,semeval
ale,poured into,mug,semeval
ale,was at first,foam,semeval
ale,turned into,translucent,semeval
central vacuum,is,filtration system,semeval
vacuum motor,built inside,canister,semeval
filtration system,built inside,canister,semeval
central vacuum,is,vacuum motor,semeval
congress,approved formation of,corps of medical cadets,semeval
congress,approved on,"august 3, 1861",semeval
bowden cable,controlled,top wing,semeval
scarff ring mounts,was used mainly on,fighter aircrafts,semeval
top wing,was fitted onto,fighter aircrafts,semeval
analysts,assess,distribution,semeval
analysts,assess,changes in distribution,semeval
analysts,use,frequency,semeval
camp,is,keeper,semeval
camp,is in,team,semeval
high-wheelers,were descended from,push-bike,semeval
push-bike,without,pedals,semeval
line,basic term,geometry,semeval
pollution,is caused by,cars,semeval
health problems,affect,americans,semeval
pollution,is causing,health problems,semeval
viewers,ignore,negative posts,semeval
offending writer,leaves,site,semeval
molten core,to investigate the conditions of the occurrence of,steam,semeval
molten core,have been dropped into,river,semeval
metamorphic lithics,origin is from,mountain ranges,semeval
mountain ranges,located in,north-western,semeval
analyzer,identifies,infeasible paths,semeval
analyzer,uses,constraint propagation method,semeval
intelligent history,is combined with,moving prose,semeval
intelligent history,creates,inspiring narrative,semeval
history,is of,great people,semeval
informative narrative,tells,history,semeval
intelligent history,creates,informative narrative,semeval
inspiring narrative,tells,history,semeval
attributes,inherited,children,semeval
bee,carries to,hive,semeval
pollen,is in,pollen basket,semeval
bee,carries,pollen,semeval
nurse,grabs,arm,semeval
nurse,escorts,patient,semeval
nurse,escorts to,bed,semeval
rights,belong to,person,semeval
person,created,content,semeval
mushroom,was found in,mass of wet twigs and leaves,semeval
squad,is,world beaters,semeval
potatoes,placed in,steaming basket,semeval
steaming basket,fitting inside,large pot,semeval
bill baker,is,building's structural engineer,semeval
bill baker,is part of,"skidmore, owings & merrill",semeval
thesis,was asserted in,book,semeval
police chief,is of,ocrb,semeval
book,was written by,police chief,semeval
sandwiches,contain,fried chicken breast,semeval
crew,is behind,counter,semeval
crew,assembles,sandwiches,semeval
event,occurred in,1877,semeval
rain,caused cancellation of,event,semeval
new law,enforced in,1878,semeval
professional education,is concerned with,future directions of the profession,semeval
implications for society,are about,trends,semeval
issues,are in,computer science,semeval
implications for society,are about,issues,semeval
technology and society magazine,has published articles about,implications for society,semeval
trends,are in,computer science,semeval
issues,are in,education,semeval
issues,are in,engineering,semeval
trends,are in,education,semeval
trends,are in,engineering,semeval
projections,for,teams,semeval
projections,for,individuals,semeval
website,publishes,analytical articles,semeval
website,publishes,advanced statistics,semeval
website,publishes,projections,semeval
ancient astronaut theory,addressed,horror fiction,semeval
ancient astronaut theory,addressed,science fiction,semeval
22445 clusters,composed from,reads,semeval
recipes,for,cherry wine,semeval
project,started by reading,recipes,semeval
jack keller,has,recipes,semeval
song,entered,contest,semeval
floppies,have shipped pre-formatted from,factory,semeval
floppies,are formatted as,dos fat12,semeval
