subject,predicate,object,file_id
this volume,analyzes,central concepts,semeval
this volume,relates to,contemporary political debate,semeval
the defendant,was released from,custody,semeval
custody,ended on,"march 2, 2001",semeval
the plant,builds,"four-cylinder ""ecotec""",semeval
"four-cylinder ""ecotec""",used in,vehicles,semeval
vehicles,include,chevy malibu,semeval
vehicles,include,cobalt,semeval
we,used,fried cheese,semeval
fried cheese,as an element in,dish,semeval
the castle,was inside,museum,semeval
english premier league clubs,are falling into,foreign ownership,semeval
foreign ownership,increasing among,english premier league clubs,semeval
the man,was carried into,waiting police car,semeval
waiting police car,from,coleraine times,semeval
bunn,has recalled,"35,600 single-cup pod brewers",semeval
"35,600 single-cup pod brewers",have issue with,drawer opening unexpectedly,semeval
drawer opening unexpectedly,during,brew cycle,semeval
brew cycle,poses hazard to,consumers,semeval
probe tube,is introduced into,reaction container,semeval
reaction container,for measuring,operating condition of medium,semeval
operating condition of medium,in interior of,reaction container,semeval
david mamet,took questions from,audience,semeval
david mamet,shared views on,topics such as television,semeval
topics such as television,includes,democracy of culture,semeval
topics such as television,includes,english accent,semeval
david mamet,shared views on,television,semeval
david mamet,shared views on,democracy of culture,semeval
david mamet,shared views on,english accent,semeval
chapter,points out importance of,new employee orientation,semeval
new employee orientation,covers,important things during process,semeval
new employee orientation,covers,item 1 during process,semeval
new employee orientation,covers,item 2 during process,semeval
monitoring station,receives signal through,communication device,semeval
communication device,transmits signal to,monitoring station,semeval
combined signal,is processed by,processing system,semeval
processed signal,retrieves,gps data,semeval
combined signal,is processed by,monitoring station,semeval
correction personnel,jointly sought with,police personnel,semeval
correction and police personnel,sought to locate,offenders,semeval
offenders,had absconded from,parole and probation officers,semeval
correction personnel,jointly with police personnel,sought to locate offenders,semeval
book,has major theme of,beauty of a dream,semeval
crude oil,spilled more than,53000 gallons,semeval
53000 gallons of crude oil,into,surrounding marshes,semeval
one of the spills,caused by,hurricane,semeval
studies,were focused on,older adults,semeval
older adults,living at home,context of studies,semeval
eighteen,is amount of,studies,semeval
diseases,are caused by,gene mutations,semeval
gene mutations,on the,x chromosome,semeval
tree crown size,is strongly correlated with,tree growth,semeval
state capital,is described as,disgusting sewer,semeval
bruno,is one of,rats in state capital,semeval
rats in state capital,are characterized as,filthy and mischievous,semeval
mummified cat,was found in,live trap,semeval
live trap,contained an,empty dish,semeval
stories,are narrated through,dance,semeval
foundry,includes product line of,manhole frames,semeval
foundry,includes product line of,utility covers,semeval
foundry,includes product line of,airport castings,semeval
foundry,includes product line of,drainage products,semeval
foundry,includes product line of,trench grates,semeval
foundry,includes product line of,hydrant and valve components,semeval
foundry,includes product line of,industrial castings,semeval
air,was filled with,smell of burning plastic,semeval
lisa,took joy from,laughing,semeval
lisa,took joy from,volunteering at school,semeval
lisa,took joy from,taking pictures,semeval
lisa,took joy from,chatting,semeval
lisa,took joy from,the twins and vikings,semeval
lisa,took joy from,playing softball,semeval
lisa,took joy from,playing volleyball,semeval
lisa,took joy from,time at lake vermilion,semeval
lines from young author,are widely read by,younger part of population,semeval
profound change in mood,is confirmed by,lines from young author,semeval
profound change in mood,affects,freuch proletariat,semeval
receiver,was outputting,same tone,semeval
same tone,to,my deva 5,semeval
militants,stormed,police training school,semeval
police training school,is located on outskirts of,lahore,semeval
militants,were heavily armed with,firearms and grenades,semeval
militants,killed at least,12 people,semeval
telescope,comprises,lenses,semeval
telescope,comprises,tubes,semeval
lenses,are important to,performance of telescope,semeval
tubes,are important to,performance of telescope,semeval
pulp,was poured into,tupperware tub,semeval
tupperware tub,is filled with,water,semeval
carpenters,build,buildings,semeval
carpenters,build,boats,semeval
buildings,are made from,wood,semeval
boats,are made from,wood,semeval
wood,is a material used by,carpenters,semeval
other materials,are used by,carpenters,semeval
milk samples,were obtained from,one milking of each cow,semeval
novel,offers,intimacy,semeval
novel,offers,accountability,semeval
blog,offers,intimacy,semeval
blog,offers,accountability,semeval
blogger,is_participant_in,ongoing_conversation,semeval
ongoing_conversation,blurs_line_between,reader_and_original_poster,semeval
collective_comment,replaces,old_fashioned_ivory_tower_editing,semeval
universal_peer_review,kind_of,collective_comment,semeval
his speech,criticised,the idea of religious education,semeval
the idea of religious education,is described as,a journey around the various religions,semeval
bread prepared with rice flour,has rating,good,semeval
good rating of bread prepared with rice flour,has percentage,25%,semeval
regular rating of bread prepared with rice flour,has percentage,33%,semeval
very bad rating of bread prepared with rice flour,has percentage,17%,semeval
very good rating of bread prepared with rice flour,has percentage,8%,semeval
student population,infected by,extraterrestrial passenger,semeval
asteroid,threatens,earth,semeval
earth,faces,disaster,semeval
farm,has_program,early_years_program,semeval
early_years_program,has_amount,forty_acres,semeval
early_years_program,targets,productive_subsistence_farm,semeval
sheep,is_source_of_income_for,farm,semeval
laptop,was inside,protective plastic bag,semeval
protective plastic bag,made from,ldpe number 4,semeval
ldpe number 4,can be easily,recycled,semeval
gary wheelan,is,dallas attorney,semeval
gary wheelan,has trait,womanizing,semeval
gary wheelan,has trait,adulterous,semeval
gary wheelan,provokes,telephone operator,semeval
he,weaves,complex tales,semeval
complex tales,concerns,romantic concerns,semeval
romantic concerns,include,happiness,semeval
romantic concerns,include,love,semeval
romantic concerns,include,sufferance,semeval
entity,has program,context z program,semeval
context z program,has amount,"""handsome renovations""",semeval
context z program,targets,"""a church into a home""",semeval
leaflet box,placed in,early september,semeval
subject,predicate,object,semeval
swim bladder of aquatic animals,gives ability to,manipulate gravity,semeval
research,should be done on,swim bladder of aquatic animals,semeval
we,set forward on,morning of the 16th,semeval
coffle,consists of,fourteen asses,semeval
asses,loaded with,salt,semeval
salt-loaded asses,bound for,sansanding,semeval
coloring,is derived from,grand duke's coat of arms,semeval
