pair,question,ground_truth,retrieved_answer,judge_average,human_evaluated
1,Who starred in the 1991 American action comedy film The Hard Way and was featured on the roster of Rawkus Records?,Mos Def,Mos Def,10.0,10
2,"What staff member of the editor of ""London Review of Books"" wrote a semi-fictionalised account of working for her?",Nina Stibbe,Nina Stibbe,10.0,10
3,"What actress is known for a starring role in Robert Bresson's ""Pickpocket"" and has also been directed by Just Jaeckin, a former photographer?",Marika Nicolette Green,Marika Nicolette Green,10.0,10
4,Which had a bigger population in the 2016 census: Queens or Staten Island?,Queens,Queens had a bigger population than Staten Island in the 2016 census.,10.0,10
5,What is the character of fictional character Claire Fraser in a British-American television drama series developed by Ronald D. Moore ?,Claire is a married World War II nurse,Claire Fraser is a nurse during World War II who travels from 1946 to Scotland in 1743.,9.0,8
6,Which rebellion did Sir John Wedderburn and Charles Edward Stuart fight for that ended with defeat at the Battle of Culloden?,the unsuccessful Jacobite uprising of 1745,Jacobite uprising of 1745,9.0,10
7,In Person is a 1935 film starring an actress born in what year?,1911,Ginger Rogers was born in 1911.,10.0,10
8,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,Royal Air Force,10.0,10
9,The Shrewsbury & Newport Canals Trust promotes the restoration of what navigable canal in England?,Shropshire Union Canal,newport arm of the shropshire union canal,8.2,9
10,Were both the Battle of Stones River and the Battle of the Ch'ongch'on River fought in the 19th century?,no,No.,10.0,10
11,The Worst Journey in the World is a memoir written by which English explorer of Antarctica?,Apsley George Benet Cherry-Garrard,Apsley George Benet Cherry-Garrard,10.0,10
12,What year was the alphabetically first writer of Fairytale of New York born?,1955,1957,0.6,0
13,"Helen Margaret Lederer appeared on a BBC television sitcom created by Jennifer Saunders, that is based on what 1990 sketch?",French & Saunders,French & Saunders,10.0,10
14,David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris,Latice Crawford,1.2,0
15,"Which film came out first, Still Kicking: Six Artistic Women of Project Arts & Longevity or Time Bombs?",Still Kicking: Six Artistic Women of Project Arts & Longevity,Still Kicking: Six Artistic Women of Project Arts & Longevity,10.0,10
16,Which county located in the commonwealth of Kentucky is Kentucky Route 393 (KY 393) a state highway in,"Oldham County, Kentucky",Kentucky Route 393 (KY 393) is a state highway in Oldham County.,10.0,10
17,"The House of Hanover held the British throne until after Victoria's death, when it was past to the dynasty that ruled which duchy?",Ernestine,Saxe-Coburg and Gotha,6.8,0
18,Edmundas Malūkas was the former mayor of the lake resort how far west of the capital of Lithuania?,28 km,28 km west,10.0,10
19,"How many records did the boy band who released ""Said and Done"" sell worldwide as of 2013?",25 million,25 million records,10.0,10
20,During which months of the year does the goalkeeper for Bengaluru FC play?,November to March,November to March,10.0,10
21,"Who is younger, Terry Glaze or Hayley Williams?",Hayley Williams,Hayley Williams is younger.,10.0,10
22,"Of four Harry S. Truman Supreme Court candidates, who was the 53rd United States Secretary of the Treasury and the 13th Chief Justice of the United States?",Fred M. Vinson,Fred M. Vinson,10.0,10
23,The hip hop group Strange Fruit Project relates its name to what song by a famous female jazz musician and singer known for her vocal delivery and improvisational skills?,"""Strange Fruit""","""Strange Fruit"" performed by Billie Holiday",10.0,10
24,What country is both Thornton–Cleveleys railway station and Poulton-le-Fylde railway station located?,England,United Kingdom,8.6,9
25,"Who was born first, Mary Collins or Polly Draper?",Mary Collins,Mary Collins,10.0,10
26,Are both Ixia and Rhexia a plant genus?,yes,Yes.,10.0,10
27,What was the third studio album released by Richard Melville Hall?,Everything Is Wrong,The recipe,0.0,0
28,What foundation do scholars give for the likelihood of collaboration on a William Shakespeare Play written between 1588 and 1593?,linguistic analysis,linguistic analysis,10,10
30,What is one element of House dance where the dancer ripples his or her torso back and forth?,the jack,lofting,0.8,0
31,Richford is a town in Franklin County Vermont governed by what kind of body?,town meeting legislative body,town meeting legislative body,10.0,10
32,"The castle where ""Spook Squad"" was filmed is in what part of Scotland?","Aberdeenshire, Scotland",Aberdeenshire,9.0,9
33,Are both Grapico and Izze artificially flavored soft drinks?,no,No.,10.0,10
34,"The role of ""Celene"" in the film ""Walk All over Me"" was played by an actress that voices what role in the ""Starcraft 2"" triolgy?",Sarah Kerrigan,Queen of Blades,8.4,0
35,Was the Metropolitan Life Insurance Company Tower [Met Life Tower] or the 15 Hudson Yards building designed by the firm of Napoleon LeBrun & Sons?,The Metropolitan Life Insurance Company Tower,Metropolitan Life Insurance Company Tower was designed by Napoleon LeBrun & Sons.,10.0,10
36,In what year was the director of the 2016 American-British biographical drama film which stars Rebecca Hall as Christine Chubbuck born?,1983,Antonio Campos was born in 1983.,10.0,10
37,"In what year was the Sayrevill, New Jersey rock band that Frankie LaRocka played drums for formed?",1983,1983,10.0,10
38,Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia,10.0,10
39,"In what year did the playwright who wrote ""The City Heiress"" die?",1689,1689,10.0,10
40,What is the origin of the National Space Olympiad and Kalpana Chawla ?,Indian,India,10.0,10
41,"Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Showtime TV Network series ""Dexter""?",Mark Neveldine and Brian Taylor,Marc Forster,0.2,0
42,What is common between Matt Vasgersian and Michael Casey?,American,Both Matt Vasgersian and Michael Casey have served as play-by-play announcers for the San Diego Padres.,3.8,5
43,"Notable works of Bailee Madison includes a 2011 American Romantic comedy film that was directed by Dennis Dugan, and written by Allan Loeb and who?",Timothy Dowling,Timothy Dowling,10.0,10
44,Who starred as an American attorney in Grey Gardens?,Ken Howard,Lois Erdmann Wright,0.4,0
45,Is Rutgers University or Brown University public?,Rutgers University,Rutgers University is public. Brown University is private.,10.0,10
