subject,predicate,object,file_id
volume,analyzes,concepts of contemporary debate,semeval
volume,analyzes,concepts of contemporary political debate,semeval
volume,analyzes,central concepts of debate,semeval
volume,analyzes,concepts of political debate,semeval
volume,analyzes,central concepts of political debate,semeval
volume,analyzes,concepts of debate,semeval
volume,analyzes,central concepts of contemporary debate,semeval
volume,analyzes,central concepts,semeval
volume,analyzes,concepts,semeval
volume,analyzes,central concepts of contemporary political debate,semeval
defendant,was released from,custody,semeval
defendant,was,released from custody on march 2 2001,semeval
defendant,was released on,march 2 2001,semeval
defendant,was,released,semeval
plant,builds,four cylinder ecotec,semeval
we,used cheese as,element in dish,semeval
we,used as,element,semeval
we,used,cheese,semeval
we,used as,element in dish,semeval
we,used cheese as,element,semeval
we,used,fried cheese,semeval
element,is in,dish,semeval
castle,was inside,museum,semeval
english premier league clubs,are falling into,foreign ownership,semeval
english premier league clubs,are falling into,ownership,semeval
man,was,carried,semeval
man,was carried into,waiting police car,semeval
man,was carried into,police car from coleraine times,semeval
man,was carried into,police car,semeval
man,was carried into,waiting police car from coleraine times,semeval
drawer,posing,burn hazard,semeval
drawer,opens during,brew cycle,semeval
drawer,opens unexpectedly during,brew cycle,semeval
bunn,has recalled,"35,600 single cup pod brewers",semeval
drawer,posing hazard to,consumers,semeval
bunn,has recalled,"35,600 cup pod brewers",semeval
drawer,posing,hazard,semeval
probe tube,is,introduced,semeval
medium,is in,interior of container,semeval
david mamet,took questions from,audience,semeval
david mamet,took,questions,semeval
david mamet,shared,his views,semeval
david mamet,shared,his views on topics,semeval
chapter,points out,importance of employee orientation,semeval
chapter,additionally points out,importance of employee orientation,semeval
chapter,additionally points out,importance,semeval
chapter,points out,importance,semeval
chapter,points out,importance of new employee orientation,semeval
chapter,additionally points out,importance of new employee orientation,semeval
monitoring station,receives signal through,communication device,semeval
monitoring station,receives,signal,semeval
police personnel,sought in,approach,semeval
correction,sought in,approach,semeval
police personnel,jointly sought in,approach,semeval
police personnel,locate,offenders,semeval
correction,jointly sought in,approach,semeval
theme,is beauty of,dream,semeval
theme,is,beauty,semeval
major theme,is,beauty,semeval
book,major theme of is,beauty,semeval
book,theme of is,beauty,semeval
major theme,is beauty of,dream,semeval
studies,were focused on,adults living at home,semeval
studies,were focused on,older adults living at home,semeval
studies,were focused on,adults,semeval
studies,were focused on,older adults living,semeval
studies,were focused on,older adults,semeval
eighteen studies,were focused on,adults living at home,semeval
eighteen studies,were focused on,adults,semeval
studies,were,focused,semeval
eighteen studies,were,focused,semeval
eighteen studies,were focused on,older adults,semeval
studies,were focused on,adults living,semeval
eighteen studies,were focused on,adults living,semeval
eighteen studies,were focused on,older adults living at home,semeval
eighteen studies,were focused on,older adults living,semeval
diseases,are caused by,gene mutations on x chromosome,semeval
diseases,are caused by,gene mutations,semeval
size,is strongly correlated with,growth of tree,semeval
size,is strongly correlated with,growth,semeval
size,is,strongly correlated,semeval
size,is correlated with,growth,semeval
size,is correlated with,growth of tree,semeval
size,is,correlated,semeval
capital,is,disgusting,semeval
sewer,is,just one in mischief of rats,semeval
state capital,is,disgusting sewer,semeval
disgusting sewer,is,just one in mischief of rats,semeval
state capital,is,sewer,semeval
sewer,is,just one in mischief,semeval
disgusting sewer,is,just one in mischief,semeval
sewer,is,just one in mischief of filthy rats,semeval
disgusting sewer,is,just one in mischief of filthy rats,semeval
mummified cat,was found in,live trap with empty dish,semeval
mummified cat,was found in,live trap,semeval
cat,was found in,live trap,semeval
cat,was found in,live trap with dish,semeval
mummified cat,was found in,trap with empty dish,semeval
cat,was,found,semeval
mummified cat,was found in,trap,semeval
cat,was found in,trap,semeval
cat,was found in,trap with empty dish,semeval
live trap,is with,empty dish,semeval
mummified cat,was,found,semeval
mummified cat,was found in,live trap with dish,semeval
cat,was found in,live trap with empty dish,semeval
mummified cat,was found in,trap with dish,semeval
cat,was found in,trap with dish,semeval
stories,are,narrated,semeval
stories,are narrated through,dance,semeval
foundry 's product lines,include,manhole frames,semeval
foundry,has,major product lines,semeval
foundry 's major product lines,include,manhole frames,semeval
air,was filled with,smell of plastic,semeval
air,was filled with,smell,semeval
air,was,filled,semeval
air,was filled with,smell of burning plastic,semeval
lisa,took,twins,semeval
lisa,took,volunteering at school chatting,semeval
volunteering chatting,great joy,time,semeval
lisa,took joy from,laughing,semeval
volunteering,lisa,time,semeval
lisa,took volunteering from,laughing,semeval
lisa,took,playing softball,semeval
lisa,took,joy,semeval
lisa,took,softball,semeval
school,at volunteering is,twins,semeval
volunteering,great joy,time,semeval
school,at volunteering is,playing softball,semeval
volunteering,joy,time,semeval
lisa,took,great joy,semeval
volunteering chatting,joy,time,semeval
volunteering chatting,lisa,time at lake vermilion,semeval
lisa,took,volunteering at school,semeval
lisa,took,volunteering chatting,semeval
volunteering chatting,lisa,time,semeval
lisa,took,volunteering,semeval
volunteering,lisa,time at lake vermilion,semeval
change,lines from,pen of author widely read by younger part,semeval
lines,confirm,profound change in mood,semeval
change,lines from,pen of author read by part of population,semeval
profound change,lines from,pen of author widely read by younger part of population,semeval
profound change,lines from,pen of author read by part of population,semeval
such lines,only confirm,change in mood of freuch proletariat,semeval
change,lines from,pen of young author read,semeval
profound change,such lines from,pen of author widely read by part,semeval
profound change,such lines from,pen,semeval
change,lines from,pen of author read by younger part,semeval
profound change,such lines from,pen of young author widely read by younger part,semeval
change,lines from,pen of author widely read by part of population,semeval
change,lines from,pen of author read,semeval
profound change,such lines from,pen of young author read by younger part of population,semeval
change,lines from,pen of young author read by part,semeval
change,lines from,pen of author widely read by part,semeval
profound change,lines from,pen,semeval
change,lines from,pen of young author widely read,semeval
change,such lines from,pen of author read by younger part of population,semeval
lines,only confirm,profound change in mood of freuch proletariat,semeval
lines,only confirm,change,semeval
change,such lines from,pen of author widely read by part,semeval
profound change,such lines from,pen of author,semeval
change,such lines from,pen of young author widely read,semeval
such lines,only confirm,profound change in mood of freuch proletariat,semeval
change,lines from,pen of author read by younger part of population,semeval
such lines,confirm,profound change,semeval
change,such lines from,pen of young author widely read by younger part of population,semeval
change,lines from,pen of young author read by part of population,semeval
change,such lines from,pen of author read by part,semeval
change,lines from,pen,semeval
profound change,such lines from,pen of author read by part,semeval
lines,only confirm,profound change,semeval
change,such lines from,pen of young author read by younger part,semeval
